,No. of Nodes,No. of Edges,Area (km2),Node density (km2),Edge density (km2),Total Length (km),Mean Length (m) ,Length density (km2),Mean Degree,Mean Neighbourhood Degree,Civic,Commercial,Entertainment,Food,Healthcare,Institutional,Recreational,Social,Building Footprint (Proportion),Mean Building Footprint (m2),Building Footprint St.dev (m2),Total Building Perimeter (m),Mean Building Perimeter (m),Building Perimeter St.dev (m),Mean Building Complexity,Building Complexity St.dev,PopSum,Men,Women,Elderly,Youth,Children
Kenwood,545.0,1426.0,2.7,201.94,528.39,108.5,76.09,40.2,5.23,2.92,0.0,7.0,4.0,13.0,0.0,10.0,32.0,0.0,18.8,240.02,552.33,135435.57,64.04,61.03,16.6,7.81,58.53326367763315,21.031063999999997,30.319510999999995,6.792994000000001,8.096734000000001,3.838844
Rogers Park,1164.0,3420.0,4.76,244.61,718.69,231.64,67.73,48.68,5.88,3.17,8.0,45.0,13.0,98.0,0.0,13.0,89.0,9.0,30.05,270.61,789.44,361886.34,68.47,58.11,17.13,7.96,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson Park,1271.0,3876.0,6.02,211.05,643.62,295.52,76.24,49.07,6.1,3.2,0.0,44.0,5.0,50.0,19.0,7.0,12.0,4.0,24.07,108.73,284.74,540693.3,40.58,23.65,12.85,3.27,0.0,0.0,0.0,0.0,0.0,0.0
"Sauganash,Forest Glen",1243.0,3440.0,8.27,150.22,415.72,286.11,83.17,34.58,5.53,3.12,3.0,27.0,0.0,24.0,6.0,6.0,23.0,0.0,14.58,116.21,160.62,450322.25,43.4,21.73,13.38,3.49,0.0,0.0,0.0,0.0,0.0,0.0
North Park,1162.0,3464.0,6.53,178.08,530.86,244.85,70.68,37.52,5.96,3.15,6.0,19.0,0.0,37.0,0.0,14.0,19.0,3.0,15.95,177.56,581.55,287761.3,49.06,48.41,14.03,5.65,0.0,0.0,0.0,0.0,0.0,0.0
Albany Park,1166.0,3580.0,4.97,234.58,720.23,266.51,74.44,53.62,6.14,3.28,4.0,31.0,0.0,70.0,0.0,8.0,34.0,5.0,30.79,130.96,264.52,536810.22,45.94,32.96,13.78,4.84,0.0,0.0,0.0,0.0,0.0,0.0
Irving Park,1701.0,5242.0,8.32,204.47,630.11,418.91,79.91,50.35,6.16,3.26,3.0,31.0,0.0,104.0,3.0,14.0,50.0,0.0,26.07,125.61,334.13,759494.81,43.98,32.39,13.46,4.46,0.0,0.0,0.0,0.0,0.0,0.0
Dunning,1700.0,5312.0,9.62,176.76,552.31,422.44,79.53,43.92,6.25,3.28,4.0,19.0,0.0,50.0,3.0,16.0,32.0,0.0,23.7,100.06,225.66,893866.57,39.22,22.59,12.63,3.13,0.0,0.0,0.0,0.0,0.0,0.0
West Ridge,2060.0,6336.0,9.14,225.44,693.39,456.36,72.03,49.94,6.15,3.23,4.0,49.0,3.0,88.0,0.0,24.0,62.0,9.0,25.37,144.92,295.79,772931.38,48.3,35.13,14.12,4.94,0.0,0.0,0.0,0.0,0.0,0.0
Uptown,1013.0,2866.0,6.04,167.63,474.26,228.04,79.57,37.74,5.66,3.04,4.0,73.0,16.0,139.0,12.0,17.0,97.0,4.0,22.61,299.91,602.04,319296.07,70.11,58.52,17.19,7.63,0.0,0.0,0.0,0.0,0.0,0.0
Norwood Park,2128.0,6396.0,11.32,187.94,564.89,509.82,79.71,45.03,6.01,3.17,6.0,34.0,0.0,39.0,5.0,18.0,31.0,4.0,20.89,103.66,306.73,907986.95,39.81,29.3,12.7,3.61,0.0,0.0,0.0,0.0,0.0,0.0
Streeterville,293.0,772.0,1.66,176.38,464.73,62.23,80.61,37.46,5.27,2.96,6.0,74.0,29.0,189.0,6.0,3.0,34.0,0.0,41.51,1591.45,5055.96,59938.68,138.43,148.4,22.99,11.31,0.0,0.0,0.0,0.0,0.0,0.0
South Shore,1579.0,4772.0,7.59,207.91,628.34,356.88,74.79,46.99,6.04,3.23,4.0,48.0,4.0,38.0,3.0,21.0,35.0,13.0,25.06,180.76,445.79,579272.0,55.06,43.76,15.21,6.15,0.0,0.0,0.0,0.0,0.0,0.0
Chatham,1556.0,4888.0,7.64,203.61,639.63,376.55,77.04,49.27,6.28,3.27,3.0,41.0,0.0,30.0,0.0,19.0,32.0,0.0,22.22,131.68,404.25,580193.42,44.99,31.95,13.6,4.36,0.0,0.0,0.0,0.0,0.0,0.0
South Chicago,1269.0,3966.0,8.66,146.56,458.06,330.7,83.38,38.19,6.25,3.3,0.0,23.0,6.0,28.0,4.0,25.0,33.0,9.0,15.44,117.1,213.73,500051.41,43.8,25.2,13.52,3.75,0.0,0.0,0.0,0.0,0.0,0.0
Roseland,2303.0,7340.0,12.47,184.7,588.68,598.35,81.52,47.99,6.37,3.31,5.0,12.0,0.0,18.0,3.0,27.0,37.0,3.0,18.94,106.06,209.98,919162.74,41.28,24.24,13.05,3.38,0.0,0.0,0.0,0.0,0.0,0.0
North Center,1346.0,4182.0,5.3,254.13,789.56,277.98,66.47,52.48,6.21,3.25,6.0,41.0,4.0,117.0,8.0,17.0,36.0,3.0,29.99,125.04,407.0,552125.57,43.43,30.44,13.39,4.05,0.0,0.0,0.0,0.0,0.0,0.0
South Deering,1326.0,3876.0,28.2,47.02,137.44,412.1,106.32,14.61,5.85,3.11,4.0,13.0,0.0,23.0,0.0,9.0,32.0,0.0,5.84,199.57,2861.37,350990.0,42.5,77.37,12.83,5.79,0.0,0.0,0.0,0.0,0.0,0.0
East Side,814.0,2626.0,7.73,105.34,339.84,270.19,102.89,34.97,6.45,3.39,5.0,15.0,0.0,29.0,0.0,11.0,21.0,3.0,14.5,100.05,281.12,439987.18,39.27,22.78,12.68,3.07,0.0,0.0,0.0,0.0,0.0,0.0
West Pullman,1744.0,5460.0,9.22,189.07,591.91,430.25,78.8,46.64,6.26,3.29,3.0,9.0,0.0,8.0,0.0,18.0,32.0,0.0,17.96,104.4,272.79,639497.23,40.32,22.08,12.85,2.98,0.0,0.0,0.0,0.0,0.0,0.0
Garfield Ridge,2017.0,6290.0,10.94,184.29,574.7,490.83,78.03,44.85,6.24,3.28,3.0,54.0,0.0,69.0,3.0,15.0,20.0,0.0,21.17,106.39,824.96,840301.44,38.6,30.1,12.47,3.04,0.0,0.0,0.0,0.0,0.0,0.0
New City,2321.0,6828.0,12.5,185.7,546.29,518.89,75.99,41.52,5.88,3.15,7.0,29.0,0.0,33.0,7.0,36.0,54.0,0.0,20.73,204.09,1167.63,605459.66,47.7,47.45,13.9,4.78,0.0,0.0,0.0,0.0,0.0,0.0
Englewood,2940.0,9420.0,16.12,182.43,584.52,788.96,83.75,48.96,6.41,3.39,7.0,32.0,0.0,17.0,5.0,53.0,63.0,6.0,16.27,123.56,358.89,952688.93,44.87,26.94,13.78,3.61,0.0,0.0,0.0,0.0,0.0,0.0
Grand Crossing,1501.0,4610.0,9.18,163.57,502.36,400.65,86.91,43.66,6.14,3.25,3.0,13.0,5.0,19.0,0.0,27.0,37.0,4.0,17.47,138.3,583.07,539677.98,46.54,35.07,13.92,4.39,0.0,0.0,0.0,0.0,0.0,0.0
Ashburn,2130.0,6530.0,12.58,169.38,519.26,531.4,81.38,42.26,6.13,3.22,5.0,18.0,0.0,22.0,0.0,21.0,20.0,4.0,19.64,105.27,531.53,919807.3,39.2,26.93,12.58,3.28,0.0,0.0,0.0,0.0,0.0,0.0
